date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2026-05-13,25.7,23.5,24.9,25.9,99,93,11.4,9.2,1.03,5.18,0.22,2.1999999999999993,0,0,96.0,6,0,1,1,1,0,0,13.66
2026-05-14,29.5,24.0,25.9,3.7,98,77,17.4,14.4,3.17,16.42,0.94,5.5,0,0,87.5,21,0,1,0,0,0,0,18.335
2026-05-15,29.4,23.6,26.1,3.9,98,80,18.3,14.0,3.82,20.31,0.81,5.799999999999997,0,0,89.0,18,0,1,0,0,0,0,17.79
2026-05-16,29.5,24.6,26.6,3.8,93,76,20.4,15.7,3.49,17.5,1.0,4.899999999999999,0,0,84.5,17,0,1,0,0,0,1,19.99
2026-05-17,30.1,24.4,27.1,1.2,96,73,22.6,16.9,3.96,19.25,1.14,5.700000000000003,0,0,84.5,23,0,1,0,0,0,1,20.49
2026-05-18,30.1,24.8,26.8,3.0,95,74,27.4,17.6,4.08,21.7,1.13,5.300000000000001,0,0,84.5,21,0,1,0,0,0,1,20.545
2026-05-19,28.6,24.4,26.7,3.9,97,81,18.3,16.0,3.58,18.62,0.73,4.200000000000003,0,0,89.0,16,0,1,0,0,0,0,18.53
2026-05-20,30.4,24.0,27.3,6.0,99,73,22.9,16.4,4.36,21.93,1.16,6.399999999999999,0,0,86.0,26,0,1,1,0,0,1,19.92
